# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.752585937500000000e+04 3.488352298736572266e-01 1.676604747772216797e+00 2.497971679687500000e+04 3.488352298736572266e-01 1.676604747772216797e+00 1.006300330162048340e+00
0.000000000000000000e+00 1.415870785713195801e+00 2.954584121704101562e+00 6.331882476806640625e+00 2.052080154418945312e+00 2.954584121704101562e+00 6.331882476806640625e+00 1.022284507751464844e+00
5.000000000000000000e+02 1.033936887979507446e-01 3.011206388473510742e-01 3.978734603151679039e-04 1.539891958236694336e-01 3.011206388473510742e-01 3.978734603151679039e-04 6.517888903617858887e-01
1.000000000000000000e+03 7.984280586242675781e-02 1.555142104625701904e-01 3.069392871111631393e-03 1.230477392673492432e-01 1.555142104625701904e-01 3.069392871111631393e-03 4.488443136215209961e-01
1.500000000000000000e+03 6.461434066295623779e-02 1.069084778428077698e-01 1.637078967178240418e-04 9.830002486705780029e-02 1.069084778428077698e-01 1.637078967178240418e-04 3.737633824348449707e-01
2.000000000000000000e+03 5.227598920464515686e-02 9.041262418031692505e-02 1.230003399541601539e-04 8.126785606145858765e-02 9.041262418031692505e-02 1.230003399541601539e-04 3.292746245861053467e-01
2.500000000000000000e+03 3.979733586311340332e-02 8.078661561012268066e-02 3.505960921756923199e-04 6.518226116895675659e-02 8.078661561012268066e-02 3.505960921756923199e-04 2.834379374980926514e-01
3.000000000000000000e+03 2.699209563434123993e-02 7.365513592958450317e-02 8.023456903174519539e-04 5.313795804977416992e-02 7.365513592958450317e-02 8.023456903174519539e-04 2.397018671035766602e-01
3.500000000000000000e+03 2.140990085899829865e-02 6.685294955968856812e-02 6.830652127973735332e-04 4.614952206611633301e-02 6.685294955968856812e-02 6.830652127973735332e-04 2.051332592964172363e-01
4.000000000000000000e+03 1.907852105796337128e-02 6.086233258247375488e-02 2.958064666017889977e-03 4.147046431899070740e-02 6.086233258247375488e-02 2.958064666017889977e-03 1.812159270048141479e-01
4.500000000000000000e+03 1.723160408437252045e-02 5.602623149752616882e-02 9.204427478834986687e-04 3.734239935874938965e-02 5.602623149752616882e-02 9.204427478834986687e-04 1.659723818302154541e-01
5.000000000000000000e+03 1.250288542360067368e-02 5.107684060931205750e-02 3.262695099692791700e-05 3.356799483299255371e-02 5.107684060931205750e-02 3.262695099692791700e-05 1.564827412366867065e-01
5.500000000000000000e+03 1.148918736726045609e-02 4.681659117341041565e-02 1.636883389437571168e-04 3.087291680276393890e-02 4.681659117341041565e-02 1.636883389437571168e-04 1.504201591014862061e-01
6.000000000000000000e+03 1.409072894603013992e-02 4.316993057727813721e-02 2.449920575600117445e-04 2.933564968407154083e-02 4.316993057727813721e-02 2.449920575600117445e-04 1.460807919502258301e-01
6.500000000000000000e+03 1.180395949631929398e-02 3.956579789519309998e-02 1.656770240515470505e-03 2.779205329716205597e-02 3.956579789519309998e-02 1.656770240515470505e-03 1.425693482160568237e-01
7.000000000000000000e+03 1.165356859564781189e-02 3.649443387985229492e-02 2.118699252605438232e-03 2.659590728580951691e-02 3.649443387985229492e-02 2.118699252605438232e-03 1.395048499107360840e-01
7.500000000000000000e+03 1.151710096746683121e-02 3.388647362589836121e-02 7.428102981066331267e-05 2.568250149488449097e-02 3.388647362589836121e-02 7.428102981066331267e-05 1.366497129201889038e-01
8.000000000000000000e+03 1.171033643186092377e-02 3.159484267234802246e-02 4.057834448758512735e-04 2.507922053337097168e-02 3.159484267234802246e-02 4.057834448758512735e-04 1.338734477758407593e-01
8.500000000000000000e+03 1.177507918328046799e-02 2.954269200563430786e-02 2.137021947419270873e-04 2.435563877224922180e-02 2.954269200563430786e-02 2.137021947419270873e-04 1.311128586530685425e-01
9.000000000000000000e+03 1.150453556329011917e-02 2.767728269100189209e-02 5.866096034878864884e-05 2.385413274168968201e-02 2.767728269100189209e-02 5.866096034878864884e-05 1.283106356859207153e-01
